mtype,site,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08
flow,63001,100.0,80.0,66.67,100.0,75.0,64.29
flow,63101,96.0,92.0,84.0,100.0,92.0,70.83
flow,64304,90.0,70.0,70.0,100.0,44.44,22.22
flow,64602,76.47,82.35,76.47,60.78,80.0,16.0
flow,65102,100.0,84.62,76.92,91.67,58.33,33.33
flow,65106,90.91,90.91,100.0,81.82,60.0,0.0
flow,65701,100.0,84.62,84.62,100.0,33.33,45.45
flow,65901,90.32,93.55,96.77,90.32,51.61,12.9
flow,66204,84.78,85.11,76.6,89.36,36.17,4.35
flow,66213,87.5,83.33,91.67,95.83,40.0,4.35
flow,66403,100.0,100.0,66.67,11.11,100.0,50.0
flow,66407,36.96,15.22,10.87,8.7,8.7,8.7
flow,66415,78.57,92.86,78.57,64.29,50.0,30.77
flow,66417,100.0,93.94,96.88,90.62,59.38,45.16
flow,66425,88.0,50.0,80.77,92.31,73.08,8.0
flow,66435,80.95,83.33,83.33,78.57,59.09,42.86
flow,66442,66.67,100.0,66.67,33.33,100.0,0.0
flow,66602,100.0,96.97,97.06,97.06,91.43,75.76
flow,66612,100.0,92.86,92.86,100.0,75.0,48.15
flow,67001,95.24,85.71,95.24,90.48,71.43,55.0
flow,67402,93.75,75.0,68.75,86.67,50.0,13.33
flow,67408,93.1,82.76,72.41,82.76,65.52,25.0
flow,67702,59.38,84.38,87.5,84.85,45.45,21.21
flow,67805,95.45,95.65,95.65,95.65,82.61,63.64
flow,68002,91.43,88.57,94.29,85.71,65.71,52.94
flow,68320,93.75,96.88,100.0,96.88,84.38,74.19
flow,68322,72.73,72.73,90.91,91.67,75.0,54.55
flow,68806,92.16,71.15,92.31,63.46,61.54,25.49
flow,68810,88.89,88.89,86.11,52.78,64.86,21.62
flow,68819,100.0,85.71,64.29,57.14,53.85,15.38
flow,68822,100.0,85.71,50.0,69.23,38.46,16.67
flow,69001,100.0,100.0,100.0,100.0,86.67,64.29
flow,69101,100.0,66.67,83.33,81.82,36.36,0.0
flow,69201,100.0,86.67,93.33,71.43,42.86,28.57
flow,69202,73.33,86.67,86.67,85.71,85.71,78.57
flow,69302,70.59,76.47,78.43,27.45,62.75,48.0
flow,69505,88.89,83.33,77.78,69.44,44.44,8.57
flow,69602,100.0,70.37,88.46,80.0,48.15,7.41
flow,69614,97.67,83.72,95.45,70.45,38.64,4.65
flow,69618,92.59,77.78,83.33,61.82,40.0,5.56
flow,69635,94.59,67.57,78.38,78.38,37.84,8.11
flow,70105,88.89,58.33,61.11,80.56,32.43,8.33
flow,70303,100.0,77.78,55.56,77.78,38.89,11.76
flow,70902,91.67,75.0,83.33,80.56,38.89,14.29
flow,70908,100.0,94.74,94.74,75.0,73.68,26.32
flow,71106,89.8,87.76,65.31,68.75,40.43,12.5
flow,71117,95.0,90.0,85.0,40.0,60.0,26.32
flow,71130,100.0,93.33,93.33,81.25,68.75,40.0
flow,71136,66.67,85.71,95.24,71.43,81.82,42.86
flow,71156,85.71,71.43,85.71,85.71,57.14,42.86
flow,71178,76.47,75.0,53.33,53.33,26.67,6.25
flow,71195,41.18,23.53,66.67,72.22,52.94,29.41
precip,217810,68.97,70.0,60.0,10.0,100.0,42.86
precip,218810,50.0,89.47,47.37,5.13,92.5,17.5
precip,219510,60.32,87.1,57.81,4.84,95.31,22.22
precip,219910,41.07,85.71,61.82,15.45,94.64,12.5
precip,222610,40.0,64.71,74.29,14.71,90.91,18.18
precip,226510,41.38,93.1,89.66,31.03,96.55,36.67
precip,227810,93.33,90.0,96.77,86.21,48.28,20.69
precip,231910,53.12,87.5,93.33,93.75,9.68,64.52
precip,232710,63.64,81.25,75.76,100.0,14.29,54.29
precip,233510,59.09,34.78,65.22,100.0,13.04,52.17
precip,233610,41.67,70.21,60.42,97.92,2.13,40.43
precip,234511,33.33,66.67,79.49,97.5,0.0,44.74
precip,237101,50.0,83.33,81.82,72.73,9.09,25.0
precip,239101,38.46,88.89,76.92,84.62,7.69,46.15
precip,304610,62.86,91.43,57.14,20.59,90.62,31.25
precip,306610,64.29,85.71,32.14,10.71,75.86,18.52
precip,307001,72.41,79.31,48.28,34.48,93.1,14.29
precip,309810,96.77,83.87,45.16,19.35,48.39,6.45
precip,310510,50.0,90.0,63.33,10.0,93.1,30.0
precip,311810,48.48,87.88,67.65,10.61,97.06,21.21
precip,311910,28.57,92.59,70.37,37.93,67.24,13.79
precip,313710,71.7,80.39,34.0,41.35,22.22,7.69
precip,314411,52.63,78.95,36.84,21.05,84.21,11.11
precip,314412,45.83,87.5,37.5,20.83,83.33,26.09
precip,314701,61.67,78.69,35.0,35.25,14.75,10.0
precip,315010,78.95,94.74,26.32,26.32,84.21,11.11
precip,315510,93.55,74.19,22.58,82.76,61.29,36.67
precip,315910,63.33,86.67,29.03,41.94,19.35,10.0
precip,316310,90.32,87.1,25.81,19.35,35.48,16.67
precip,317210,51.85,88.89,18.52,50.0,28.57,7.14
precip,319211,84.62,88.46,53.85,65.38,23.08,20.0
precip,320010,29.82,77.59,62.07,18.97,78.95,3.51
precip,321212,28.33,96.67,66.67,64.52,70.97,3.33
precip,321310,32.56,92.86,79.07,60.47,45.24,4.88
precip,321610,40.32,93.55,32.26,67.74,6.45,12.9
precip,321710,28.57,89.29,53.57,24.14,86.21,10.71
precip,322110,46.51,85.71,30.95,32.56,46.51,2.33
precip,322211,70.97,90.32,29.03,74.19,16.13,0.0
precip,322410,43.33,93.33,40.0,56.67,33.33,13.79
precip,322411,60.0,90.0,45.0,75.0,5.0,5.26
precip,323610,45.0,95.0,60.0,80.0,5.0,10.53
precip,324611,50.72,91.43,77.14,85.51,63.77,13.43
precip,326112,50.0,92.86,25.0,51.72,13.79,17.86
precip,326512,72.73,90.91,52.17,73.91,21.74,9.09
precip,326611,75.0,84.48,62.07,86.21,51.72,37.93
precip,328711,75.0,75.0,48.21,82.76,41.38,20.69
precip,400710,96.77,96.77,37.1,22.58,29.03,16.13
precip,400910,62.96,96.3,33.33,44.44,7.41,55.56
precip,401610,100.0,83.33,33.33,57.89,21.05,33.33
precip,403601,87.88,96.97,56.06,34.38,35.94,36.36
precip,403711,61.82,69.09,45.37,65.74,37.04,40.0
precip,404810,14.29,71.43,21.43,78.57,14.29,64.29
precip,405610,100.0,95.65,30.43,47.92,17.39,60.87
